Portfolio,Expected Annual Return,Annual Volatility,Sharpe Ratio,Risk Free Rate
Minimum Variance,0.01855045457885555,0.1603138006548553,0.022146905408969995,0.015
Maximum Sharpe,0.08952790411614255,0.18693147361518694,0.39869104263075605,0.015
Equal Weight,-0.03573050878870106,0.19543567401617626,-0.2595765028267157,0.015
