Target Return,Expected Annual Return,Annual Volatility,Sharpe Ratio,Weight_600900.SS,Weight_601318.SS,Weight_600519.SS,Weight_600887.SS,Weight_600036.SS
0.01855045457885555,0.018550454578854934,0.16031380065473122,0.02214690540898328,0.6247250136971408,9.251187970793062e-19,0.15435670645028116,0.17317042631742968,0.04774785353514834
0.01914690373463107,0.01914690373463355,0.16031582029374533,0.02586708989190968,0.6279034070859393,3.6485944202978977e-19,0.1534086790970373,0.17149920237981478,0.04718871143720861
0.019743352890406594,0.019743352890313395,0.16032188021923252,0.02958643501328132,0.6310814060885336,6.11981304391232e-20,0.15246225055869453,0.16982441679613097,0.046631926556640856
0.020339802046182114,0.020339802046201855,0.16033197996895515,0.033304659789243504,0.6342603540503741,5.785764425338905e-19,0.15151614324180623,0.16815412131240315,0.04606938139541652
0.020936251201957634,0.020936251201973614,0.1603461187849332,0.03702148356915147,0.6374384876372192,0.0,0.15056857728854892,0.16648113040358475,0.04551180467064717
0.021532700357733157,0.021532700357727832,0.16036407635675837,0.04073668184384812,0.6399577186566047,0.001274522651830636,0.14960449594678493,0.16480742082411662,0.04435584192066329
0.022129149513508677,0.022129149513509624,0.16038517019961354,0.044450178932608095,0.642166981215877,0.0031476693825244688,0.1486350098059921,0.16312858113120282,0.04292175846440367
0.022725598669284197,0.022725598669283545,0.16040935038342935,0.048161772682308784,0.6443757246153955,0.00502163080095797,0.14766708390566444,0.16144770742397646,0.04148785325400577
0.02332204782505972,0.023322047825060015,0.16043661551167168,0.051871250203820156,0.6465846914327414,0.006894937187928506,0.14669598820366103,0.15976936160313454,0.04005502157253439
0.02391849698083524,0.023918496980838363,0.16046696401291752,0.055578399178290855,0.6487935011312145,0.008768748162070761,0.1457260998898723,0.1580903525630005,0.038621298253841994
0.02451494613661076,0.0245149461366082,0.16050039413767678,0.05928300791863668,0.6510023189892191,0.010642544497013151,0.14475625761942537,0.1564113016444407,0.03718757724990158
0.025111395292386283,0.025111395292392327,0.1605369039602154,0.0629848654294352,0.6532112533080098,0.01251607098423154,0.14378560566168444,0.15473293013617398,0.03575413990990025
0.025707844448161803,0.02570784444816423,0.16057649138004257,0.06668376146556572,0.6554201907682672,0.014389572469644585,0.14281427805909422,0.15305517073649458,0.03432078796649947
0.026304293603937323,0.026304293603937504,0.16061915412206737,0.07037948659190713,0.6576290290834697,0.01626328358563999,0.14184304468374195,0.15137736306087923,0.03288727958626923
0.026900742759712847,0.02690074275971232,0.16066488973639495,0.07407183224186709,0.6598378243292017,0.018137093319806043,0.1408722048827763,0.1496992089219765,0.03145366854623954
0.027497191915488363,0.02749719191548976,0.16071369560102916,0.07776059077450356,0.6620464325470633,0.02001141205002177,0.13990487306145316,0.14801799982872577,0.030019282512736035
0.028093641071263886,0.028093641071247046,0.16076556891638094,0.08144555553470188,0.6642553591203617,0.021884968081170054,0.13893414147559607,0.14633974398327687,0.028585787339595378
0.02869009022703941,0.02869009022703921,0.16082050671491752,0.08512652090636233,0.6664643028970355,0.023758382038181963,0.13796067409719995,0.14466388300747268,0.027152757960109998
0.029286539382814926,0.0292865393828142,0.16087850585954705,0.08880328236816722,0.6686731496285121,0.02563211129227405,0.1369902409588878,0.14298538191601604,0.02571911620431004
0.02988298853859045,0.029882988538590616,0.1609395630392429,0.09247563655284441,0.6708819812607035,0.027505863990379516,0.13601976225517468,0.1413069100292905,0.02428548246445192
0.03047943769436597,0.030479437694365806,0.16100367477492283,0.09614338129862866,0.6730907978685026,0.029379637673341293,0.13504923415615722,0.139628465071115,0.02285186523088391
0.03107588685014149,0.031075886850143265,0.16107083741991926,0.0998063157033987,0.6752998284606881,0.03125318956928811,0.1340811405020434,0.13794814312271667,0.021417698345263605
0.03167233600591701,0.03167233600591608,0.1611410471573684,0.10346424017981018,0.677508630819349,0.03312695697106633,0.13310967354683823,0.1362705286052713,0.019984210057475093
0.03226878516169253,0.03226878516169309,0.16121430000770434,0.10711695650365895,0.6797173214712467,0.035000894669943404,0.13213817152409493,0.13459282633313224,0.018550786001582577
0.03286523431746805,0.032865234317457505,0.1612905918261718,0.11076426786697799,0.6819259823452987,0.03687509784181856,0.1311706509553918,0.13291176764302004,0.017116501214470982
0.033461683473243575,0.03346168347323868,0.16136991829804787,0.11440597893307615,0.6841348570299316,0.038748633824295865,0.13019806079674573,0.13123501602493165,0.01568343232409533
0.03405813262901909,0.03405813262901915,0.1614522749541068,0.11804189587564788,0.6863437154229041,0.04062228434621673,0.12922672602725116,0.1295572514464949,0.014250022757133232
0.034654581784794615,0.034654581784792964,0.16153765715880886,0.12167182643654663,0.6885525518546458,0.04249601462700465,0.12825606900010492,0.12787892002147136,0.012816444496773272
0.03525103094057014,0.0352510309405718,0.16162606011707267,0.12529557996961077,0.690761384352793,0.04436976122484676,0.12728556061168692,0.12620046568773333,0.011382828122940126
0.035847480096345655,0.035847480096345766,0.16171747887499485,0.12891296748733358,0.6929702132331091,0.046243519619759914,0.12631509764461832,0.12452197930125307,0.009949190201259464
0.03644392925212118,0.03644392925212332,0.1618119083210718,0.1325238017066931,0.6951790432369646,0.04811727726862542,0.12534463803192808,0.12284349337699083,0.008515548085490996
0.0370403784078967,0.03704037840789685,0.16190934318758182,0.13612789709338594,0.6973878742726095,0.04999102918102291,0.12437414642606344,0.12116502905241441,0.007081921067889654
0.03763682756367222,0.037636827563662996,0.16200977805320008,0.13972506990429684,0.6995966780735782,0.05186491453716751,0.12340645631019426,0.11948403229059522,0.005647918788464788
0.03823327671944774,0.03823327671948819,0.1621132073388077,0.14331513823504777,0.7018055061698133,0.0537386663067172,0.12243428745222432,0.11780719438324637,0.0042143456879988024
0.038829725875223264,0.03882972587522664,0.16221962531965547,0.1468979220502446,0.7040143698009523,0.0556122767173636,0.12146269359160791,0.11612960546445945,0.0027810544256166216
0.03942617503099878,0.03942617503100108,0.16232902611774067,0.15047324323429537,0.7062232914154383,0.05748567944815329,0.12049344808883268,0.11444947073067131,0.0013481103169044617
0.040022624186774304,0.040022624186812135,0.16244140471285826,0.1540409246709219,0.7084422831571845,0.05931880795176525,0.11948967293084999,0.11274923596020024,0.0
0.04061907334254983,0.0406190733424153,0.1625570657568968,0.1576004907761345,0.7108216847006713,0.060510977123644206,0.1179896305221108,0.11067770765357376,0.0
0.041215522498325344,0.04121552249818895,0.16267624882855947,0.16115150605554504,0.713201044477734,0.06170321734212895,0.11648945456552506,0.10860628361461196,0.0
0.04181197165410087,0.0418119716539319,0.16279894619251017,0.1646937666428545,0.7155804090718141,0.06289544915723197,0.11498932957571906,0.10653481219523483,1.4907779871675686e-19
0.04240842080987639,0.042408420809736155,0.1629251499090297,0.16822707129648076,0.7179597801423552,0.06408767030809451,0.11348916552918645,0.10446338402036393,5.238898778767848e-19
0.04300486996565191,0.04300486996565189,0.1630548518364215,0.1717512214463063,0.7203390491496879,0.06528006322587526,0.11198898855089107,0.10239189907354587,0.0
0.04360131912142743,0.04360131912142742,0.16318804363350115,0.17526602123904506,0.7227184018773489,0.06647231518562338,0.110488832506438,0.1003204504305897,7.834393017612236e-20
0.04419776827720295,0.044197768277025665,0.16332471676226934,0.17877127758638686,0.7250979151499564,0.06766429665325505,0.10898874837785803,0.09824903981893066,4.425747149403719e-19
0.04479421743297847,0.0447942174328025,0.16346486249055794,0.1822668002092711,0.7274773241432306,0.06885645384101279,0.10748861314325067,0.09617760887250594,0.0
0.04539066658875399,0.04539066658860272,0.16360847189454333,0.18575240167386656,0.7298567659145186,0.07004855586303425,0.10598848250480956,0.09410619571763756,0.0
0.045987115744529516,0.04598711574435589,0.16375553586157104,0.1892278974345668,0.7322362821930345,0.0712405324427718,0.10448836995574687,0.09203481540844691,0.0
0.04658356490030503,0.046583564900148075,0.163906045092949,0.19269310587194904,0.7346159089495576,0.07243232280869744,0.10298832010405186,0.08996344813769303,5.077962518789531e-19
0.047180014056080556,0.04718001405592017,0.16405999010683062,0.19614784832649065,0.7369957963574021,0.07362367401298181,0.1014883885223351,0.08789214110728095,7.792703114739563e-19
0.04777646321185608,0.04777646321185734,0.16421736123900946,0.19959194913717423,0.7393739581857811,0.07481793196818974,0.09998777820298693,0.08582033164304222,1.5088833164151293e-18
0.048372912367631596,0.048372912367633455,0.16437814865129916,0.20302523566212274,0.7417534643799569,0.07600992538914815,0.09848768651280518,0.08374892371808969,0.0
0.04896936152340712,0.048969361523404475,0.16454234232822723,0.20644753832203733,0.7441333708334341,0.07720124441381591,0.09698777892359194,0.08167760582915815,0.0
0.04956581067918264,0.04956581067918439,0.1647099320822003,0.20985869062184995,0.7465119302568205,0.07839483290904732,0.09548727526446248,0.0796059615696696,2.348398846262547e-19
0.05016225983495816,0.05016225983495427,0.1648809075584834,0.21325852917495733,0.7488912864245442,0.07958707886157464,0.09398715665517839,0.07753447805870284,1.4399560103323106e-20
0.050758708990733675,0.05075870899073426,0.1650552582352955,0.21664689373154183,0.751270630153689,0.08077934538806165,0.09248709754641676,0.07546292691183254,0.0
0.051355158146509206,0.05135515814650612,0.16523297342829618,0.22002362719861512,0.7536498657737067,0.08197179417541853,0.09098697035446246,0.07339136969641231,0.0
0.05195160730228472,0.051951607302285305,0.16541404229337525,0.22338857566124057,0.756029060295052,0.08316431061879698,0.08948709460137438,0.0713195344847765,0.0
0.05254805645806024,0.05254805645806776,0.1655984538294002,0.22674158840124095,0.7584086993344168,0.08435608325927131,0.08798654578271155,0.06924867162360018,0.0
0.05314450561383577,0.05314450561363309,0.16578619688191176,0.23008251791192924,0.76078804515617,0.08554834707654019,0.08648634857163137,0.06717725919565826,8.275511894674512e-19
0.053740954769611285,0.053740954769456735,0.16597726014577466,0.23341121991910999,0.7631674012168652,0.08674059340777113,0.08498619628800086,0.06510580908736271,1.7804632551285393e-18
0.0543374039253868,0.054337403925386794,0.16617163216825923,0.23672755338621937,0.7655467536136649,0.08793284599462593,0.08348602848759258,0.0630343719041166,0.0
0.05493385308116233,0.05493385308096077,0.1663693013521801,0.2400313805275079,0.7679261163667868,0.08912508106399265,0.08198587650158036,0.060962926067640186,2.8358663074073975e-18
0.05553030223693785,0.05553030223673685,0.16657025595948077,0.24332256682487233,0.7703054557912231,0.0903173554587069,0.08048571087562771,0.05889147787444235,0.0
0.056126751392713364,0.056126751392513004,0.16677448411380125,0.2466009810256676,0.772684814484079,0.09150959739290426,0.07898555329482584,0.05682003482819095,5.116079001415975e-19
0.056723200548488895,0.056723200548488895,0.16698197380402668,0.2498664951550762,0.7750641647385549,0.09270185345985088,0.07748540658062114,0.05474857522097316,1.8614165265469602e-18
0.05731964970426441,0.05731964970426442,0.1671927128871137,0.253118984514822,0.7774435172581553,0.09389410573944999,0.07598525565829263,0.052677121344102164,0.0
0.05791609886003993,0.057916098859876974,0.16740668909162632,0.2563583276913613,0.7798228695354542,0.09508635855676675,0.07448508238698263,0.05060568952079644,0.0
0.05851254801581546,0.05851254801566817,0.16762389002088132,0.2595844065559373,0.7822022178959386,0.09627861791607355,0.07298491733822497,0.04853424684976297,0.0
0.059108997171590974,0.059108997171425294,0.16784430315582205,0.2627971062591008,0.7845815806326255,0.0974708529023663,0.07148478443488186,0.04646278203012638,1.1494237094240856e-18
0.05970544632736649,0.05970544632719932,0.16806791585849956,0.26599631523269385,0.786960926591228,0.09866311621999162,0.06998463331107406,0.044391323877706335,0.0
0.06030189548314202,0.06030189548295446,0.16829471537513171,0.26918192518390005,0.789340286664078,0.09985535588014184,0.06848446765129129,0.04231988980448897,0.0
0.06089834463891754,0.06089834463874618,0.16852468883935515,0.27235383109057937,0.7917196599553289,0.10104757326458617,0.06698430881245343,0.040248457967631594,8.517975075826058e-19
0.06149479379469305,0.061494793794484325,0.16875782327534958,0.2755119311927971,0.7940992594593278,0.10223940947131432,0.06548425941710774,0.03817707165225021,0.0
0.062091242950468584,0.06209124295046481,0.16899410560185657,0.2786561269859312,0.7964796497839648,0.1034299129999916,0.0639846124590995,0.03610582475694407,1.2273507405714812e-18
0.0626876921062441,0.06268769210624825,0.16923352263124183,0.2817863232106753,0.7988575244892911,0.10462465383303429,0.062484021971230555,0.03403379970644396,2.28603604552095e-18
0.06328414126201962,0.0632841412620196,0.16947606108081173,0.28490242783608327,0.8012370465160704,0.10581662201527213,0.060983693298108356,0.0319626381705491,0.0
0.06388059041779515,0.06388059041779513,0.16972170756796462,0.2880043520550901,0.8036163987332949,0.10700887482579131,0.05948353859267658,0.029891187848237258,0.0
