Type,Name,Skewness,Kurtosis
Portfolio,Integer ILP,-0.02857073446062613,1.8224972068794338
Portfolio,Maximum Sharpe,-0.028570734460623668,1.8224972068794134
Portfolio,Minimum Variance,0.34735275631461315,3.186919504592315
Portfolio,Equal Weight,0.2645821479340071,5.431329306068188
Single Stock,600519.SS 贵州茅台,0.5321832374437704,5.53481238366799
Single Stock,000858.SZ 五粮液,0.6781815612728744,3.952095315515929
Single Stock,601318.SS 中国平安,0.5691363067990043,4.909775121387913
Single Stock,600036.SS 招商银行,0.0778955705907846,3.8997619898946
Single Stock,600900.SS 长江电力,-0.0020922951925572,3.755196676912331
Single Stock,600276.SS 恒瑞医药,0.328624083000427,3.150250229993816
Single Stock,601012.SS 隆基绿能,-0.821873868828519,13.295099899319307
Single Stock,300750.SZ 宁德时代,-5.080206109608822,94.30878708675588
Single Stock,600887.SS 伊利股份,0.1186373486912548,7.51371397672632
Single Stock,002415.SZ 海康威视,0.0492785622693067,3.0680046946763846
Single Stock Benchmark,Single Stock Average,-0.3550235603562476,14.338749737485045
Single Stock Benchmark,Single Stock Median,0.0982664596410197,4.430935218451921
