Date,Integer ILP,Maximum Sharpe,Minimum Variance,Equal Weight
2024-12-31,0.0,0.0,0.0,0.0
2025-01-02,-0.011844331641285955,-0.011844331641285955,-0.01556300399047672,-0.022591733959784976
2025-01-03,-0.0186125211505922,-0.0186125211505922,-0.02241927276126332,-0.028176965801409937
2025-01-06,-0.022335025380710638,-0.022335025380710638,-0.02934775279826196,-0.033135685509412816
2025-01-07,-0.02876480541455162,-0.02876480541455162,-0.03441910046636798,-0.036841809556327765
2025-01-08,-0.0186125211505922,-0.01861252115059231,-0.02586199962054414,-0.030338792750868926
2025-01-09,-0.025719120135363815,-0.025719120135363926,-0.03154359657859851,-0.03607712918934225
2025-01-10,-0.023011844331641274,-0.023011844331641385,-0.033204435354115214,-0.04289937422161627
2025-01-13,-0.02504230118443318,-0.025042301184433402,-0.033993247619481304,-0.04373603555339711
2025-01-14,-0.02402707275803717,-0.024027072758037504,-0.028322931895790493,-0.03156600888489269
2025-01-15,-0.025380710659898442,-0.025380710659898775,-0.02948628853018609,-0.030422196889900777
2025-01-16,-0.02402707275803717,-0.024027072758037504,-0.03154713511544027,-0.03209633483738672
2025-01-17,-0.018274111675126936,-0.018274111675127047,-0.02701722427801101,-0.030168079033719875
2025-01-20,-0.019627749576988207,-0.019627749576988318,-0.030018339354828116,-0.03298213039559983
2025-01-21,-0.013197969543147225,-0.013197969543147225,-0.02808578928538441,-0.033739999298795786
2025-01-22,-0.029103214890016882,-0.029103214890016882,-0.04248212230523096,-0.04862130482595217
2025-01-23,-0.035532994923857864,-0.035532994923857864,-0.04482984586288963,-0.04115365493281964
2025-01-24,-0.045685279187817285,-0.045685279187817285,-0.05115390644330453,-0.03995795270027802
2025-01-27,-0.021996615905245376,-0.021996615905245487,-0.03467464403547915,-0.03183435099931897
2025-02-05,-0.040609137055837574,-0.040609137055837574,-0.05601383310492736,-0.05394583415358134
2025-02-06,-0.043316412859560116,-0.043316412859560116,-0.055296629360160665,-0.04888893279902018
2025-02-07,-0.048054145516074454,-0.048054145516074565,-0.054256507417239086,-0.042499480586163374
2025-02-10,-0.05549915397631133,-0.055499153976311444,-0.05996385030582441,-0.04387736875808301
2025-02-11,-0.055837563451776595,-0.05583756345177682,-0.06220361883331316,-0.04665712627766716
2025-02-12,-0.05279187817258879,-0.05279187817258901,-0.055917382261928106,-0.036245009438513165
2025-02-13,-0.04670050761421318,-0.04670050761421318,-0.04763064404640127,-0.029311599619657236
2025-02-14,-0.04534686971235191,-0.04534686971235202,-0.04471989792945252,-0.022794704543510846
2025-02-17,-0.04670050761421318,-0.04670050761421318,-0.04737839374623998,-0.025776409848618065
2025-02-18,-0.0402707275803722,-0.04027072758037231,-0.04368927591169802,-0.02567312878979633
2025-02-19,-0.05008460236886636,-0.05008460236886636,-0.04317020979769648,-0.019340004950244127
2025-02-20,-0.05109983079526226,-0.05109983079526237,-0.04722659160094489,-0.0268318758225925
2025-02-21,-0.05922165820642977,-0.059221658206429884,-0.05222256457921293,-0.02808356950573221
2025-02-24,-0.06768189509306266,-0.06768189509306277,-0.059595445002761704,-0.029791986564769113
2025-02-25,-0.07512690355329954,-0.07512690355329976,-0.06795521579649777,-0.04069324795589335
2025-02-26,-0.06497461928934012,-0.06497461928934045,-0.06006794865598175,-0.03279040595009708
2025-02-27,-0.06869712351945856,-0.06869712351945889,-0.054323832464377775,-0.020547977915589044
2025-02-28,-0.0734348561759729,-0.07343485617597334,-0.05571979532717941,-0.02521148054707323
2025-03-03,-0.08324873096446705,-0.08324873096446739,-0.06550256910665664,-0.03187832355812703
2025-03-04,-0.08121827411167515,-0.08121827411167559,-0.06686918908812611,-0.03666644331224045
2025-03-05,-0.07005076142131983,-0.07005076142132027,-0.058871835990000454,-0.028497790751564223
2025-03-06,-0.07884940778341798,-0.07884940778341842,-0.05926430365061697,-0.018512750194870753
2025-03-07,-0.07749576988155671,-0.07749576988155704,-0.057711447707631036,-0.015694553386591092
2025-03-10,-0.08291032148900168,-0.08291032148900201,-0.06373569266503731,-0.022514623979188242
2025-03-11,-0.07986463620981388,-0.0798646362098141,-0.05729062422015718,-0.013676581631125506
2025-03-12,-0.08223350253807105,-0.08223350253807138,-0.06076644144293819,-0.017878911582249746
2025-03-13,-0.07783417935702197,-0.0778341793570223,-0.058156216185946685,-0.016306514783278048
2025-03-14,-0.07106598984771573,-0.07106598984771606,-0.02989934784735926,0.0
2025-03-17,-0.07377326565143827,-0.07377326565143849,-0.03449662212514193,-0.00454341381337986
2025-03-18,-0.07952622673434862,-0.07952622673434884,-0.04112492535339374,-0.007657233665119834
2025-03-19,-0.06497461928934012,-0.06497461928934034,-0.03067492332617272,0.0
2025-03-20,-0.06463620981387475,-0.06463620981387508,-0.03595771019886418,-0.015203741226492484
2025-03-21,-0.07275803722504226,-0.0727580372250426,-0.04843224159386195,-0.030344647230234778
2025-03-24,-0.06260575296108295,-0.06260575296108317,-0.038679593141046964,-0.021755976375581243
2025-03-25,-0.0548223350253807,-0.05482233502538092,-0.03215625880362549,-0.018938281063529683
2025-03-26,-0.058206429780033875,-0.0582064297800341,-0.037354694243380226,-0.03175051178432464
2025-03-27,-0.06023688663282567,-0.060236886632826,-0.03601278825214793,-0.025683803395595062
2025-03-28,-0.05752961082910324,-0.05752961082910357,-0.0357917679760863,-0.02744490515645115
2025-03-31,-0.05888324873096451,-0.058883248730964954,-0.03968375889162523,-0.032580215747814445
2025-04-01,-0.055837563451776595,-0.05583756345177704,-0.038719211865168024,-0.03455488158908471
2025-04-02,-0.058206429780033875,-0.05820642978003421,-0.04240731712409207,-0.03722293645398056
2025-04-03,-0.03891708967851104,-0.038917089678511485,-0.02566475478755803,-0.029469373811165545
2025-04-07,-0.04128595600676821,-0.041285956006768765,-0.03992817032862628,-0.06256571466087402
2025-04-08,-0.016920473773265665,-0.01692047377326611,-0.013010219759906905,-0.04025729019542912
2025-04-09,0.0,0.0,0.0,-0.036472937658576954
2025-04-10,-0.013527223537368793,-0.013527223537368904,-0.006018584536260474,-0.03189110842534604
2025-04-11,-0.012512681772066214,-0.012512681772066436,-0.005421226130504997,-0.03057688657015567
2025-04-14,-0.014203584714237216,-0.01420358471423766,-0.007828628378170777,-0.03224006961762593
2025-04-15,-0.010145417653026678,-0.010145417653027011,-0.0035655037563857572,-0.02596939626278394
2025-04-16,-0.005749070003381762,-0.005749070003382095,0.0,-0.02194655433075776
2025-04-17,-0.012174501183632058,-0.01217450118363228,-0.003228691252950888,-0.02148754076791637
2025-04-18,0.0,0.0,0.0,-0.015956632328286813
2025-04-21,-0.009127789046653234,-0.009127789046653123,-0.010799587930559906,-0.025941519731591978
2025-04-22,-0.008451656524678941,-0.00845165652467883,-0.011779699957511935,-0.027210242649137295
2025-04-23,-0.012846517917511902,-0.01284651791751168,-0.013809292718520716,-0.02679232352926031
2025-04-24,-0.0040567951318458695,-0.004056795131845536,-0.007227812551288015,-0.021072094691154564
2025-04-25,-0.0020283975659229903,-0.002028397565922768,-0.007335724510623698,-0.022281852717961903
2025-04-28,0.0,0.0,-0.005025565550753619,-0.02265695027922654
2025-04-29,-0.008748317631224745,-0.008748317631224745,-0.010305886563822475,-0.026242069982357896
2025-04-30,-0.007402422611036297,-0.007402422611036408,-0.004812891378133122,-0.025987576754599284
2025-05-06,-0.01816958277254377,-0.01816958277254388,-0.010851843105769032,-0.024732338025902356
2025-05-07,-0.012449528936742893,-0.012449528936743115,-0.006729006040190222,-0.019256393017010542
2025-05-08,-0.01379542395693134,-0.013795423956931452,-0.0046404503236479044,-0.010233360838439065
2025-05-09,-0.005720053835800876,-0.005720053835800987,0.0,-0.004772123138086504
2025-05-12,-0.006056527590847849,-0.006056527590848071,0.0,0.0
2025-05-13,0.0,0.0,0.0,0.0
2025-05-14,0.0,0.0,0.0,0.0
2025-05-15,0.0,0.0,0.0,0.0
2025-05-16,-0.008237232289950436,-0.008237232289950658,-0.007988749382958016,-0.010435242038543735
2025-05-19,0.0,0.0,-0.004451752780861518,-0.014898205496879924
2025-05-20,0.0,0.0,0.0,-0.006646975078050565
2025-05-21,0.0,0.0,0.0,-0.007169317924718643
