Portfolio,Trading Days,Final Net Value,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio
Equal Weight,243,1.0269057866441798,0.027916081221236677,0.12658188056900826,0.10203736240271179,0.07819313448990362,0.35701447963876204
Minimum Variance,243,0.933502898099182,-0.06887316415001532,0.10910086499532261,-0.7687671784601446,0.11201375002723768,-0.6148634800037305
Integer ILP,243,0.9201353637901861,-0.08269682379976928,0.1225840984684178,-0.796977952445762,0.1282545805207329,-0.6447865133861709
Maximum Sharpe,243,0.9201353637901856,-0.08269682379976984,0.12258409846841771,-0.7969779524457671,0.12825458052073324,-0.6447865133861735
