Portfolio,Total Days,Profit Days,Loss Days,Profit Day Ratio,Average Profit,Average Loss Abs,Profit/Loss Ratio
Minimum Variance,243,109,134,0.448559670781893,0.005274548131955462,0.00476133344061329,1.1077880173156003
Equal Weight,243,120,123,0.49382716049382713,0.00590235454371362,0.005480059138213437,1.0770603737750641
Integer ILP,243,109,130,0.448559670781893,0.006138198819800875,0.005731264589373129,1.0710025203132796
Maximum Sharpe,243,109,130,0.448559670781893,0.0061381988198008705,0.00573126458937313,1.0710025203132787
