Ticker,Name,Count,Mean,Std,Variance,Min,25%,Median,75%,Max,Skewness,Kurtosis,Annualized Mean,Annualized Volatility
600519.SS,贵州茅台,968,-0.0004115719866368727,0.015367535243161954,0.00023616113944982474,-0.0785741641798836,-0.007837762921175575,-0.0011329783124054,0.0058598284321713,0.0888562312635805,0.5321832374437704,5.53481238366799,-0.10371614063249192,0.24395205910456227
000858.SZ,五粮液,968,-0.0007714947709556933,0.018977986457489087,0.0003601639699806392,-0.105123488652568,-0.0113750106212371,-0.00234399744251985,0.00720508253746335,0.0953101798043247,0.6781815612728744,3.9520953155159293,-0.19441668228083472,0.3012661953076068
601318.SS,中国平安,968,0.0003032512313059716,0.017010674619599965,0.0002893630510139024,-0.1027898894725662,-0.008357177154577474,-0.00037879299374705,0.0077923555693539,0.0953300330885551,0.5691363067990043,4.909775121387913,0.07641931028910484,0.2700360880613986
600036.SS,招商银行,968,-0.00014299429877165932,0.016897741106330594,0.00028553365449657475,-0.0903109321867954,-0.008647492219867974,-0.00059821037855595,0.007883525793837274,0.0868549191938008,0.07789557059078468,3.8997619898945994,-0.03603456329045815,0.2682433241166252
600900.SS,长江电力,968,0.00018009904324026052,0.01090182697075223,0.00011884983130022073,-0.0618754037180875,-0.00544539984265585,-0.00034002756909474996,0.0057786676566037,0.0565277973914923,-0.002092295192557236,3.755196676912331,0.04538495889654565,0.17306113800520218
600276.SS,恒瑞医药,968,0.00017289188940918315,0.02077638526133724,0.0004316581845275113,-0.1053605156578263,-0.01135111070719825,-0.00091728595896165,0.010139208801753376,0.0953101798043247,0.328624083000427,3.150250229993816,0.043568756131114154,0.3298148912661963
601012.SS,隆基绿能,968,-0.0015904764934828758,0.026472984460534022,0.0007008189062476758,-0.277151731789016,-0.015975956465523775,-0.0028725685007799,0.011527584212429125,0.0955379961853077,-0.821873868828519,13.295099899319307,-0.4008000763576847,0.42024560006550254
300750.SZ,宁德时代,968,-0.0004520655697151093,0.031274147040488316,0.0009780722731100842,-0.541702561361264,-0.01357188563042965,-0.0019058866867611001,0.011996874702413224,0.171451089113094,-5.080206109608822,94.30878708675588,-0.11392052356820755,0.4964616932087925
600887.SS,伊利股份,968,-0.0003644848911391933,0.014965083505829995,0.00022395372433646496,-0.105515063220146,-0.007938608558588599,-0.00119645882585835,0.0061645086012446495,0.0826511487166521,0.11863734869125483,7.51371397672632,-0.09185019256707672,0.23756333583444475
002415.SZ,海康威视,968,-0.0005818673940893729,0.019022582128122745,0.00036185863082117487,-0.1053866659435196,-0.011031649809225724,-0.0006621047706061,0.008540793849444025,0.0839472959945153,0.04927856226930674,3.0680046946763846,-0.14663058331052198,0.30197412963188763
