Ticker,Name,N,Alpha,Alpha t,Alpha p,Alpha Sig,Beta Market,Beta Market t,Beta Market p,Beta Market Sig,R2,Adj R2
601318.SS,中国平安,698,0.0005707958071483101,1.2390553915414741,0.215742661171967,,1.135858410714781,29.3212592157951,1.1042329938798605e-123,***,0.5526233938567154,0.5519806113766246
600900.SS,长江电力,698,0.00025821864540957924,0.5919349136489733,0.5540863991454943,,0.24709122982272475,6.735846171198746,3.416142570503355e-11,***,0.06119956873876642,0.05985071754442561
600519.SS,贵州茅台,698,0.00017274001250020443,0.3879928263678789,0.6981399788302047,,1.0038140382295475,26.812202198142554,2.529211525870283e-109,***,0.5080904236263949,0.5073836569936743
600887.SS,伊利股份,698,-5.101354838148885e-07,-0.0011455497582852148,0.9990863119857988,,0.9026700666918019,24.10493350069216,8.291989699128608e-94,***,0.45499300057116465,0.4542099445375025
600036.SS,招商银行,698,-7.111513239850702e-05,-0.13492716687861742,0.892708469649092,,1.011186137663906,22.814815306350713,1.8665115582680887e-86,***,0.4278742606947289,0.4270522409543478
600276.SS,恒瑞医药,698,-7.598257798937299e-05,-0.11430490753368172,0.9090290576687822,,0.9531942076277777,17.052211804878176,9.637993740811391e-55,***,0.2946741301695469,0.29366073093128475
000858.SZ,五粮液,698,-0.0001420626057674221,-0.2727105056136901,0.7851566484069266,,1.3156948635655674,30.034869066332,9.520160545189827e-128,***,0.5644810137542309,0.5638552680843376
300750.SZ,宁德时代,698,-0.0003782036931652866,-0.34597557492633485,0.7294656245858286,,1.5121505768295938,16.449897090660976,1.3110649978791177e-51,***,0.27994968161249234,0.27891512655733786
002415.SZ,海康威视,698,-0.0005734128681659761,-0.9573876163573654,0.3387040775864958,,1.0574661889479837,20.9959404688687,3.398221271716766e-76,***,0.387770998114614,0.3868913587440891
601012.SS,隆基绿能,698,-0.0016815431571130615,-1.8929507332760749,0.05877903430287233,*,1.2912191209217876,17.28541111496824,5.733297657197496e-56,***,0.3003516398373671,0.2993463979405817
