Ticker,Name,Price Date,Close Price,Trading Days,Expected Annual Log Return,CAPM Beta,Lot Size,Minimum Lots,Lot Cost,Minimum Investment,Expected Profit per Lot
600900.SS,长江电力,2024-12-31,29.55,725,0.08952790411614255,0.2470912298227247,100,20,2955.0,59100.0,264.5549566632012
601318.SS,中国平安,2024-12-31,52.65,725,0.011067355414656997,1.135858410714781,100,20,5265.0,105300.0,58.26962625816909
600519.SS,贵州茅台,2024-12-31,1524.0,725,-0.10326826386396189,1.0038140382295475,100,20,152400.0,3048000.0,-15738.083412867793
600887.SS,伊利股份,2024-12-31,30.18,725,-0.1039451821454189,0.902670066691802,100,20,3018.0,60360.0,-313.70655971487423
600036.SS,招商银行,2024-12-31,39.3,725,-0.07203435746492405,1.011186137663906,100,20,3929.9999999999995,78599.99999999999,-283.09502483715147
