Date,600519.SS,000858.SZ,601318.SS,600036.SS,600900.SS,600276.SS,601012.SS,300750.SZ,600887.SS,002415.SZ
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,-0.013274961852157041,0.0008498837001251758,0.02098039215686276,0.014477766287487093,-0.002189141856392296,0.010517959912681007,-0.03994814989394302,-0.03758261847841371,0.024570024570024662,-0.020606754436176322
2022-01-06,-0.03364322869692815,-0.01825013419216326,0.00588235294117645,-0.004136504653567741,-0.03633975481611196,-0.005556658067076836,-0.05078953570586853,-0.048182393474897944,-0.017690417690417792,-0.04655600076321309
2022-01-07,-0.05325097624352215,-0.02639112542494193,0.03803921568627455,0.014477766287487093,-0.02977232924693518,0.009724151617384491,-0.05408908790949807,-0.050942202221909705,-0.014004914004913993,-0.04846403358137763
2022-01-10,-0.04155067934848844,-0.03846842011093221,0.040784313725490184,0.018200620475697926,-0.019264448336252293,0.014487001389164478,-0.06080603346688662,-0.053578962171283995,0.008108108108108025,-0.04064109902690316
2022-01-11,-0.053957869180930484,-0.045625335480407925,0.03647058823529403,0.031023784901758056,-0.01488616462346759,-0.004167493550307655,-0.08107471128918209,-0.05656729011390793,-0.021621621621621734,-0.051707689372257115
2022-01-12,-0.04106316697786205,-0.025228126677402152,0.02941176470588225,0.029162357807652528,-0.02495621716287222,-0.01587616590593366,-0.05491397596040537,-0.006750105470398005,-0.0191646191646192,-0.06029383705399727
2022-01-13,-0.08474915050969412,-0.06557523707282165,0.025490196078431282,0.02047569803516036,-0.021015761821365997,-0.05774955348283395,-0.06610888522271974,-0.006820419069047956,-0.04176904176904184,-0.0818546078992558
2022-01-14,-0.08981440404050256,-0.07317945965288963,0.0019607843137254832,-0.00682523267838675,-0.017075306479859886,-0.07422107561024016,-0.06610888522271974,0.014976796512445434,-0.04520884520884527,-0.07842014882655979
2022-01-17,-0.09244209571817885,-0.06584362139917699,-0.0011764705882353343,0.004756980351602769,-0.009632224168126036,-0.07898392538202037,-0.04536884279990561,0.06674518351849246,-0.037837837837838006,-0.06506391909940845
2022-01-18,-0.07749496643477327,-0.05398998031848268,0.004509803921568523,0.0136504653567735,0.0008756567425569628,-0.08295296685850362,-0.06304501531934947,0.031500492195190466,-0.03144963144963142,-0.03205495134516312
2022-01-19,-0.0678763473623143,-0.05707640007156911,0.008823529411764675,0.02792140641158225,0.004816112084063073,-0.09247866640206392,-0.07482913033231198,0.0019512023625369856,-0.03415233415233421,-0.04293073840870065
2022-01-20,-0.03983463580388358,-0.04625156557523713,0.04705882352941182,0.0624612202688728,0.010507880910682887,-0.09327247469736066,-0.07848220598633038,0.00043945999156247417,-0.015724815724815766,-0.0507536729631749
