Date,600519.SS,000858.SZ,601318.SS,600036.SS,600900.SS,600276.SS,601012.SS,300750.SZ,600887.SS,002415.SZ
2022-01-05,-0.013363861797064835,0.0008495227534668359,0.020763334450482063,0.014373964112068816,-0.002191541530216501,0.010463030996699096,-0.04076798545162852,-0.038307053884606646,0.02427303635620648,-0.020822036241863184
2022-01-06,-0.02085832268643717,-0.019268244964189662,-0.014898214998083859,-0.018519047767237673,-0.03482494771922262,-0.016035184717572815,-0.011356744699567045,-0.0110747984463897,-0.042121799732502296,-0.026852551216097975
2022-01-07,-0.020499058869648756,-0.008326899922859177,0.031468444622231306,0.018519047767237673,0.006791966340712552,0.015249330060233657,-0.0034821574794978716,-0.00290372602002531,0.003744855206571529,-0.0020032057980823303
2022-01-10,0.012282651855841209,-0.01248224796067987,0.0026410126650513455,0.00366300775873718,0.010772096981911172,0.004705891037412702,-0.0071263663473164485,-0.002782158893722908,0.022179322175269522,0.008187764164015565
2022-01-11,-0.013029583675090883,-0.007471084433476882,-0.004153300287863537,0.012515302637738035,0.004454350349380132,-0.01855926913100303,-0.021817202241718014,-0.0031624991477352538,-0.029934207818044456,-0.011602450619463855
2022-01-12,0.013538101357037924,0.021147143087388187,-0.0068337395785649235,-0.001807047976923215,-0.010274827941097797,-0.011827340437233769,0.028071131318017528,0.051457245917883476,0.002508152807212838,-0.009095565484485313
2022-01-13,-0.04662702501574678,-0.04227235439862742,-0.0038167985267008042,-0.008476337329713424,0.00403316701762213,-0.04348063075957542,-0.01191610211507843,-7.079395422504575e-05,-0.023315805313616877,-0.02321147651161981
2022-01-14,-0.005549649831589676,-0.008171158177192162,-0.02321187386121837,-0.027117520308103327,0.0040169659013646886,-0.017635642448114552,0.0,0.02170953608239312,-0.0035962021803523925,0.0037336695520489016
2022-01-17,-0.0028911598448191356,0.00788389815702395,-0.003136027658348084,0.011594332780918926,0.007543856499711232,-0.005157974040268076,0.021965191085009828,0.049746376323535735,0.007690373713015841,0.014388737452099676
2022-01-18,0.0163354618644469,0.0126093075023066,0.0056768283998001046,0.008812435347429926,0.010554187678689875,-0.004318728370909408,-0.018689803929007986,-0.033597597283543834,0.006617484062264367,0.034697153467972086
2022-01-19,0.010372648049996158,-0.003267899377450867,0.004285164328947655,0.013980574181126748,0.003929278139889636,-0.010441687212211281,-0.012656794703228336,-0.02906522945377521,-0.002794362290805097,-0.011299555253933224
2022-01-20,0.02964004360969419,0.01141467985512179,0.03720028368609052,0.03304941137659334,0.0056485051333448055,-0.0008750820947835969,-0.003956357658898568,-0.001509937782487647,0.018899390803903238,-0.008207432720063412
2022-01-21,0.007824018104185093,0.018770296483276105,0.002805050927608743,0.008721830654787599,-0.004342169219289094,-0.016551188817996998,-0.02853630726493428,0.0006323444379967569,0.0,-0.005239834640807128
2022-01-24,-0.017681944924206938,-0.010131236472714633,-0.007874056430905885,0.0005787595415722713,-0.0056731550803958974,-0.03740660530329398,0.007080139711225009,0.01999232152926922,-0.016612513933784268,-0.01015443331331145
2022-01-25,-0.0036987610235783563,-0.031696203655899424,-0.03700220841738977,-0.018492011119059182,-0.018106036685717974,-0.01091637829235248,-0.027685720867538066,-0.02684643041746604,-0.018960342523703044,-0.015220367865488527
2022-01-26,0.006157023042026033,-0.011148495092164978,0.01222960015615282,0.0019627091678486863,0.005776510174948513,-0.017195100379057582,0.037695554202365145,0.03798913143595062,0.005674505812053532,0.020107365985114534
