Ticker,Name,Cumulative Return,Cumulative Return (%)
601318.SS,中国平安,0.3411764705882354,34.11764705882354
600900.SS,长江电力,0.19045534150612964,19.045534150612966
600276.SS,恒瑞医药,0.1821790037705895,18.21790037705895
600036.SS,招商银行,-0.12926577042399168,-12.926577042399167
600887.SS,伊利股份,-0.29729729729729726,-29.729729729729726
600519.SS,贵州茅台,-0.32860771342072803,-32.8607713420728
300750.SZ,宁德时代,-0.35441569399521866,-35.44156939952187
002415.SZ,海康威视,-0.43064300705972136,-43.06430070597214
000858.SZ,五粮液,-0.5261227410985865,-52.612274109858646
601012.SS,隆基绿能,-0.785529106764082,-78.5529106764082
